question,A,B,C,D,answer
幸福大樓因地震嚴重毀損變成危樓，召集人緊急召開臨時區分所有權人會議，最終決議要重建，但其中有一戶區權人老王誓死反對到底，社區該如何處理？,重建必需百分之百同意，重建計畫胎死腹中,由管委會出面，訴請法院命令區權人老王必須強制出讓,管委會依照區大決議結果，找廠商強行拆除幸福大樓,建請主管機關介入處理，依照條例規定對老王開罰,2
小美養了一隻貴賓犬，卻放任狗狗在社區中庭便溺，經管委會制止卻屢勸不聽，社區該如何處理為宜？,管委會依照動保法規定，提報主管機關介入，嚴重者沒收犬隻,管委會依照本條例規定，報請主管機關按條例規定開罰,由管委會制定罰則，要求小美繳納中庭的清潔費用,禁止小美帶著狗狗進出社區，違者直接報警處理,2
幸福大樓區大提出臨時動議，要求各戶得於走廊設置鞋櫃，方便放置鞋子，並獲得多數區權人同意。下列何者正確？,經區大決議每戶鞋櫃之外觀顏色樣式尺寸皆需相同，委由管委會統一發包,鞋櫃必須以不妨礙逃生為原則，並不得設置在逃生出入口,鞋櫃須以耐燃一級材質製作，且爾後皆不得將鞋子放置在鞋櫃外面,統一設置鞋櫃違反本條例規定，此區大決議應屬無效,4
幸福大樓的五樓共有三戶，老王將這三戶全部買下來，下列何者正確？,五樓只有單一區權人，梯廳及走廊應可做為約定專用,為加強安全管理，老王於電梯口設置鐵門，防止閒雜人等進入,老王與管委會協議，五樓由老王自行管理維護，並排除他人干涉,五樓之走廊梯廳為共用部分，由管委會負責維護，區權人不得私自占用,4
幸福大樓是新大樓剛成立管委會，為了讓社區管理運作順利，大樓必須要有公共基金或管理費，請問下列何者有誤？,起造人申請使照時，提存在公庫之基金，完成公設點交前無法領取,管委會要求起造人，必須移交於代管期間向區權人所預收之管理費用,管委會開會決議，按共有比例向各區權人收取公共基金,可按照各專有部分之坪數收取管理費並納入規約,3
本條例第十八條第一項第一款所定按工程造價一定比例或金額提列公共基金，其計算標準下列何者有誤？,新臺幣一千萬元以下者為千分之二十,逾新臺幣一千萬元至新臺幣一億元者，超過新臺幣一千萬元部分為千分之十五,逾新臺幣一億元至新臺幣十億元者，超過新臺幣一億元部分為千分之十,逾新臺幣十億元者，超過新臺幣十億元部分為千分之三,3
幸福大樓財委因故離職，但拒絕交出社區大章及存摺，管委會該如何處理為宜？,經管委會催告七日後仍不移交，報請主管機關處理,到警察局報案大章跟存摺遺失，然後前往銀行重新辦理,重新刻社區大章，由主委帶到銀行重辦印鑑證明跟存摺就好了,在社區昭告天下，數落財委的惡行罪狀，逼他交出來,1
前後屆管委會要辦理移交，下列何者為非？,應在前屆任期結束前完成移交，任期以報備函文號日期為主,管理委員任期起訖應載明於規約，並以規約刊載之日期為準,任期結束後，前屆管理委員視同解任，新屆委員自動上任,前屆如拒絕移交，新屆管委會得報請主管機關或訴請法院命其移交,1
下列何者並非啟動惡鄰條款的要件？,違反規約情節重大，管委會促請其改善，三個月內仍未改善者,欠繳管理費逾兩期以上或相當金額，經管委會催討仍未改善者,經區大決議通過，並訴請法院強制其遷離者,使用專有違反區權人共同利益，經主管機關開罰四萬元後三個月內續犯者,2
本條例第二十二條第一項第一款所稱區分所有權總價，何者正確？,建築物之評定標準價格及當期土地公告現值之和,建築物近三個月實價登錄及當期土地公告現值之和,建築物所在區域之實價登錄平均現值,機關核發建造執照載明之工程造價按比例計算,1
幸福社區的老李把房子賣給了老王，但是老李尚積欠社區一萬元的管理費，以下何者敘述較為正確？,老王應該概括承受，代償老李積欠的一萬元管理費,目前法院多數見解，除非買賣雙方契約有規定，否則老王無須代償,規約如有載明後手需代償前手所積欠之管理費，老王要依規約繳納一萬元,如不清償欠繳之管理費，管委會得拒絕開通門禁卡給老王,2
下列何者必須受到社區規約之約制？,無權占有人,典權人,專有部分承租人,以上皆是,4
非封閉式之公寓大廈，要切割成兩個管委會各自管理，以下何種條件並非絕對必要？,各自獨立之公寓大廈，需經其區分所有權人至少過半數書面同意,共用及約定共用部分的範圍、修繕管理權責、費用必須劃分,各自獨立之大樓新名稱，需經全體區權人決議納入規約後方可進行切割,公共基金之分配,3
新建大樓預計要召開第一屆第一次區分所有權人會議，請問本次會議召集人應為何者？,建設公司法人代表,建設公司負責人,大樓之起造人,由區權人相互推舉，公告十日後產生,3
新蓋大樓預計要召開第一屆第一次區分所有權人會議，請問在會議尚未召開之前，本大樓的管理權人應為何者？,建設公司負責人,營造廠派駐現場之工地主任,代銷公司之駐點經理,大樓起造人,4
區分所有權人會議，應由召集人於開會前十日以書面載明開會內容，通知各區分所有權人。請問下列何者正確？,如預訂10月1日開會，開會通知書最遲應於9月21日通知並公告,開會通知書之合法通知方式，應記載於規約中較無爭議,配合時代趨勢，用電子方式取代書面紙本通知，節能又環保,以上皆是,2
有關於公寓大廈管理條例中之規定，下列何者為非？,管理委員之選任事項，應在開會通知中載明並公告，不得以臨時動議提出,如欲罷免主委，應在開會通知中載明並公告，不得以臨時動議提出,如有急迫情事須召開臨時區大，得以公告為之；公告期間不得少於二日,上述急迫情事之認定方式，除規約另有規定外，得由召集人自行認定,2
區分所有權人會議未獲致決議時，召集人得就同一議案重新召集會議，請問下列敘述何者有誤？,開議及決議之門檻，如規約另有規定者從其規定,其出席之區分所有權比例，合計至少應有全體區權人之五分之一以上出席,總出席人數過半數及總出席之區權比例過半數之同意作成決議,假決議會議紀錄依規定送達各區權人後，得於七日內以書面表示反對意見,1
區權會之出席人數或其區權比例合計未達定額導致流會，召集人得就同一議案重新召集會議，請問下列敘述何者正確？,當天上午流會，下午隨即重新召開會議,以遇有急迫情事之理由得以公告為之；公告期間不得少於二日,於開會通知上載明，第一次會議流會後隨即重新開議，門檻直接降為1/5,需依照第一次開議之相同規定，於十日前將開會通知以書面通知並公告,4
區分所有權人會議，有關於會議紀錄之規定，請問下列何者正確？,須由主席簽名，並於會後十日內送達各區分所有權人並公告之,會議紀錄中應載明開會時間、地點、經過及決議事項,利害關係人要調閱區大出席簽到簿、出席委託書，管委會可以拒絕,萬一主席不願意在會議紀錄簽名，可由新一屆主委代為簽名後公告,2
下列何者並非管委會之法定職務？,住戶共同事務應興革事項之建議,附屬設施之管理使用及其他住戶間相互關係之規定,住戶違規情事之制止及相關資料之提供,收益、公共基金及其他經費之收支、保管及運用,2
有關於管委會之法定職務，下列何者不得經管委會決議授權後，交由管理服務人代為執行之？,住戶共同事務應興革事項之建議,住戶違反第六條第一項規定之協調,共用部分、約定共用部分及其附屬設施設備之點收及保管,共有及共用部分之清潔、維護、修繕及一般改良,3
有關管委會按本條例規定須保管之資料文件，下列敘述何者有誤？,會計憑證：指證明會計事項之原始憑證,財務報表：指公共基金及管理費之現金收支表、財產目錄、費用應收未收明細,會計帳簿：指日記帳及總分類帳,會議紀錄：指歷屆區分所有權人會議之會議紀錄、簽到簿、法定委託書,4
按本條例規定，管委會具備下列何種能力？,當事人能力,民事訴訟代理人,當事人適格,準法人團體能力,1
本條例所定公寓大廈管理服務人員之類別，下列敘述何者有誤？,公寓大廈防災士管理人員,公寓大廈設備安全管理人員,公寓大廈防火避難設施管理人員,公寓大廈事務管理人員,1
本條例所定領有中央主管機關核發之登記證，接受管委會委任或僱傭從事公寓大廈維護管理工作之公司，下列何者有誤？,資本額在新臺幣一千萬元以上,公司於領得許可證件後，應於三個月內辦妥公司登記,公司名稱中應標示「公寓大廈管理維護」字樣,需置有事務管理人員四人以上，及技術服務人員四人以上,2
小李目前被指派到幸福大樓，合法擔任總幹事的工作，下列何者不是小李的業務範圍？,公寓大廈房屋租賃之代管帶看事項,公寓大廈一般事務管理服務事項,公寓公廈之清潔及環境衛生之維持事項,建築物及基地之維護及修繕事項,1
小李欲考事務管理人員認可證，應參加中央主管機關或委託之相關機構團體辦理之訓練，下列何者不在訓練課程內？,建築物管理維護技術及企劃,公寓大廈管理條例及其施行細則,公寓大廈管理組織籌組運作及申請報備處理原則,建築物防火避難設施及消防設備維護,4
有關公寓大廈管理服務人員，下列敘述何者有誤？,事務管理人員應具有國民中學或相當於國民中學以上畢業學歷,管理服務人員之認可證，有效期限為五年,從業之管理服務人員，指勞動基準法第九條之定期契約勞工,管理服務人員之訓練課程，應包括規約範本,3
主委無故不執行區權會所決議之事項，住戶屢屢提出質疑皆被主委無視，此時住戶該如何自救為宜？,提報主管機關令其限期改善，不執行者可開罰一千至五千元並得連續處罰,提報主管機關令其限期改善，不執行者可開罰4萬到20萬元並得連續處罰,串聯1/5區權人，由該發起人擔任召集人，召開會議罷免不適任主委,向法院提告主委涉嫌背信及不當得利,1
下列何種行為，可由各縣市主管機關處一千元以上五千元以下罰鍰，並令其限期改善，屆期不改善者得連續處罰,住戶違反規定，於連通走廊堆放雜物者,區權人於專有部分聚眾賭博，且不聽勸告大聲喧嘩者,飼主放任寵物於大樓中庭便溺，屢勸不聽又不清理者,管委會未善盡督促一樓小吃店，必須投保責任保險之義務者,4
名稱中未標示有公寓大廈管理維護字樣，或未經領得登記證、認可證或經廢止登記證、認可證，而從事公寓大廈維護管理工作者，會受到何種裁罰？,處公司或個人5萬元以上30萬元以下罰鍰；其拒不遵從者得連續處罰,處管理委員會4萬元以上20萬元以下罰鍰；其拒不遵從者得連續處罰,處公司或個人4萬元以上20萬元以下罰鍰；其拒不遵從者得連續處罰, 處主任委員3千元以上1萬5千元以下罰鍰；其拒不遵從者得連續處罰,3
有關公寓大廈管理條例之規定，下列何者有誤？,條例中所定應行催告事項，由管理負責人或管理委員會以書面為之,條例中所定應行催告事項，如區大決議採用智生活通知，應從其規定,條例所處之罰鍰，經限期繳納，屆期仍不繳納者，依法移送強制執行,本條例未規定者，適用其他法令之規定,2
依照公寓大廈管理條例之規定，公寓大廈之起造人於申請建造執照時，應檢附之相關資料中，下列何者有誤？,約定專用及約定共用部分標示之詳細圖說,專有部分及共用部分標示之詳細圖說,公寓大廈之規約草約,建材原料來源之證明文件,4
公寓大廈辦理建物所有權第一次登記時，應依使用執照所記載之用途及測繪規定，下列何者有誤？,建築物共用之牆壁，以牆壁之中心為界,附屬建物應以其外緣為界辦理登記,獨立建築物所有權之牆壁，以牆之中心為界,無隔牆設置者，以使用執照竣工平面圖區分範圍為界,3
依照公寓大廈管理條例，有關於公寓大廈起造人或建築業者之規範，下列何者完全正確？,不得將法定空地讓售於特定人,非經領得使用執照，不得辦理銷售,得將法定防空避難設備為區權人以外之特定人設定專用使用權,得將法定停車空間讓售於特定人,1
依照公寓大廈管理條例之規定，下列敘述何者有誤？,本條例施行細則，由各縣市政府依地方自治條例定之,規約範本，由中央主管機關訂定之,大樓起造人於申請建造執照時檢附之規約草約，得依規約範本制作,為處理公寓大廈爭議事件，由各縣市政府組設公寓大廈爭議事件調處委員會,1
大樓起造人依法召開第一屆第一次區分所有權人會議，當天開議時出席區分所有權人之人數或其區權比例合計未達規定之定額，因而未能獲致決議，起造人應如何處理？,報請主管機關，強制指定管理權人,依照條例32條規定，重新召集會議一次,起造人不再召集會議，區權人自己想辦法,直接由起造人逕行成立臨時管理委員會,2
公寓大廈管理條例是誰制定的？,臺灣省政府,內政部發布,營建署（現已改制為國土管理署）,立法院三讀通過，總統公告施行,4
公寓大廈管理條例，法律上的位階為何?,僅為內政部之行政命令,僅為公寓大廈管理指導原則。,為中央法規，全國適用。,大多數縣市政府已經公告適用,3
公寓大廈管理條例施行細則，法律上的位階為何?,為內政部發布施行，全國適用。,未具備法律上之地位。,僅為公寓大廈管理指導原則。,大多數縣市政府已經公告適用。,1
下列何者是公寓大廈管理條例立法意旨？,提昇居住品質，加強公寓大廈之管理維護,保障國民居住權益,健全住宅市場,以上皆是,1
某甲為區分所有權人屋主，唯從未有居住事實，並且長年旅居國外。某甲是否為公寓大廈之住戶?,是,否,依照規約規定,法無明定，依照區分所有權人會議決議為之,1
某乙為承租人，是否可以被選任為主任委員?,僅能擔任召集人,僅能擔任委員，不得擔任主委、財務及監察委員,不可,除區分所有權人會議之決議或規約另有規定外，可被選任。,4
管理委員會是由誰選任誰?若干人，所設立之組織。,由住戶彼此互選。,由區分所有權人選任區分所有權人。,由區分所有權人選任住戶。,由住戶選任區分所有權人。,3
有關區分所有權人會議，下列何者正確?,住戶大會就是區分所有權人會議。,涉及權利義務，僅召集受影響權利的區分所有權人會議即可。,規約修訂僅能從區分所有權人會議中決議。,以上皆非,3
有關規約，下列何者正確?,規約為中央主管機關訂定，應遵守適用。,規約為經區分所有權人會議決議之共同遵守事項。,規約為經區分所有權人會議決議，但不用共同遵守事項。,以上皆非,2
區分所有權人對專有部分之利用，不得有妨害那些行為?,建築物之正常使用。,違反區分所有權人共同利益之行為。,以上皆不得妨害。,以上皆可以妨害。,3
公寓大廈共用部分，那些不得為約定專用部分?,連通數個專有部分之走廊或樓梯。,屋頂之構造。,開放空間。,以上皆不得約定專用,4
左右兩戶之間之共同走廊，約定專用需要經過何種程序?,應經過規約之訂定與紀載。,應經過當樓層之全體區分所有權人同意,應經過全體區分所有權人同意,不得約定專用。,4
住戶對共用部分之使用，另有約定者從其約定。但不得違反哪種法令?,公寓大廈管理條例。,建築法令。,都市計畫法及區域計畫法。,以上皆不得違反。,4
住戶對共用部分之使用違反其設置目的及通常使用方法，管理負責人或管理委員會應如何處理?,口頭制止。,書面制止。,不用制止直接報請主管機關處置。,不用制止直接報請法院處置。,2
重大修繕費用，由誰分擔?,管理費用分擔。,由公共基金支付或由區分所有權人按其共有之應有部分比例分擔。,由利害關係人分擔。,依照規約規定。,2
公寓大廈之重建，應經全體區分所有權人及基地所有權人、地上權人或典權人之同意。但有哪些情形之一者，不在此限?,配合都市更新計畫而實施重建者。,嚴重毀損、傾頹或朽壞，有危害公共安全之虞者。,因地震、水災、風災、火災或其他重大事變，肇致危害公共安全者。,以上皆是。,4
住戶應依何種文件所載用途使用專有部分，不得擅自變更。,建造執照,使用執照,規約,區分所有權人會議決議,2
住戶應依何種文件所載用途使用約定專用車位，不得擅自變更。,建造執照。,使用執照。,規約。,區分所有權人會議決議。,3
住戶對專有部分未依照使用執照所載用途使用，管理負責人或管理委員會應如何處理?,應予口頭制止。,應予書面制止。,不用制止，直接報請直轄市、縣（市）主管機關處理，並要求其回復原狀。,不用制止，直接訴請法院處理，並要求其回復原狀。,2
下列何種行業，並非依公寓大廈管理條例應投保公共意外責任保險之規定範圍?,店鋪。,餐飲。,瓦斯或電焊。,以上皆需要投保。,1
"住戶於公寓大廈內依法經營餐飲、瓦斯、電焊或其他危險營業或存放有爆炸性或易燃性物品者,前項投保公共意外責任保險，經催告於？幾日內仍未辦理者，管理負責人或管理委員會應代為投保。",三日。,五日。,七日。,十日。,3
區分所有權人對於公共基金之權利是否應隨區分所有權之移轉而移轉？,應隨區分所有權之移轉而移轉。,不一定，法無明定。,移轉應依照規約規定辦理。,移轉需區分所有權人會議同意。,1
區分所有權人對於公共基金之權利為何？,不得讓與、扣押，但可抵銷或設定負擔。,不得讓與、扣押、抵銷或設定負擔。,區分所有權人房屋移轉時可讓與他人。,可將公共基金設定債權抵押，唯需區分所有權人會議同意。,2
區分所有權人積欠應繳納之公共基金或應分擔或其他應負擔之費用多久時間？經定相當期間催告仍不給付者，管理負責人或管理委員會得訴請法院命其給付應繳之金額及遲延利息。,已逾兩個月。,已逾三個月。,已逾二期。,已逾三期。,3
有關公寓大廈、基地或附屬設施之管理使用及其他住戶間相互關係，除法令另有規定外，得以？何種文件定之。,規約範本。,規約。,區分所有權人會議決議。,區分所有權人會議決議或規約。,2
哪些事項，非經載明於規約者，不生效力？。,約定專用部分、約定共用部分之範圍及使用主體。,允許住戶飼養動物之特別約定。,區分所有權人會議決議未出席及不同意之區分所有權人人數之特別約定。,以上皆應記載於規約，否則不生效力。,1
哪些事項，雖經載明於規約者，卻不生效力？。,連通數個專有部分之走廊或樓梯約定專用。,公寓大廈樓地板約定專用。,公寓大廈屋頂之構造約定專用。,以上皆是。,1
"區分所有權人會議出席及同意之區分所有權人人數,及其區分所有權比例。是否可以特別規定？",應經過區分所有權人會議為之。,得經規約特別約定之。,不可降低或提高出席或議決門檻。,僅可提高出席或議決門檻，不可降低。,2
區分所有權人會議，多久至少應召開定期會議一次？,每年至少一次。,每兩年至少一次。,每年至少兩次。,法無明定，視實際情況召集。,1
區分所有權人會議，何種情況應召開臨時會議？,發生重大事故有及時處理之必要，經三分之 一委員請求者。,發生重大事故有及時處理之必要，經管理負責人或管理委員會請求者。,經區分所有權人五分之一以上及其區分所有權比例合計五分之一以上，以口頭載明召集之目的及理由請求召集者。,以上皆是。,2
區分所有權人會議，何種情況應召開臨時會議？,經區分所有權人五分之一以上及其區分所有權比例合計五分之一以上，以連署方式請求召集者，免記載請求理由。,發生重大事故有及時處理之必要，經主任委員請求者。,經區分所有權人五分之一以上及其區分所有權比例合計五分之一以上，以口頭說明召集之目的及理由請求召集者。,以上皆非。,4
區分所有權人會議，誰可能是召集人？,新公寓大廈第一次由起造人擔任召集人。,由具區分所有權人身分之管理負責人、管理委員會主任委員或管理委員為召集人。,無管理負責人或管理委員會，或無區分所有權人擔任管理負責人、主任委員或管理委員時，由區分所有權人互推一人為召集人。,以上皆是。,4
召集人任期依區分所有權人會議或依規約規定，任期多久？可以連選得連任？。,任期一至二年，不得連選得連任。但區分所有權人會議或規約未規定者，任期一年，亦不得連選連任。,任期至少二年，連選得連任一次。但區分所有權人會議或規約未規定者，任期三年，連選得連任一次。,任期一至二年，連選得連任一次。但區分所有權人會議或規約未規定者，任期一年，連選得連任一次。,任期至多一年，連選得連任一次。但區分所有權人會議或規約未規定者，任期二年，連選得連任一次。,3
數人共有一專有部分者，該表決權應如何行使？,由規約決定行使方式。,由區分所有權人會議決定。,法無明定。,推由一人行使,4
一百戶之公寓大廈，王先生個人擁有二十一戶，區分所有權人會議中，若全體區分所有權人皆出席，出席人數與王先生表決權應如何計算?,出席人數100戶，王先生表決僅計算20戶。,出席人數僅計算99戶，王先生表決僅計算20戶。,出席人數100戶，王先生表決計算21戶。,出席人數100戶，王先生表決僅計算19戶。,2
區分所有權人因故無法出席區分所有權人會議時，得以書面委託那些人代理出席?,領有合格認可證之管理服務人員。,配偶、年滿20歲有行為能力之直系血親、其他區分所有權人或承租人。,管理委員會。,配偶、有行為能力之直系血親、其他區分所有權人或承租人。,4
公寓大廈成立管理委員會者，應由管理委員互推那些委員?一人為主任委員，主任委員對外代表管理委員會。,公寓大廈成立管理委員會者，應由管理委員互推主任委員、負責財務管理及監察業務之管理委員，連選得連任。,公寓大廈成立管理委員會者，應由管理委員互推一人為主任委員，主任委員對外代表管理委員會。,公寓大廈成立管理委員會者，應由管理委員互推主任委員、負責財務管理及監察業務之管理委員，不得連選得連任。,公寓大廈成立管理委員會者，應由管理委員互推數人為主任委員，主任委員對外代表管理委員會。,2
主任委員、管理委員之選任、解任、權限與其委員人數、召集方式及事務執行方法與代理規定，應依照何種規定辦理?,依區分所有權人會議之決議。但規約另有規定者，從其規定。,依規約之規定。但區分所有權人會議另有決議者，從其規定。,依照管理委員會之決議。,目前法無明定。,1
管理委員會中，哪些委員任期不得連任?,法令無限制，皆可連選連任。,主任委員、管理負責人、負責財務管理及監察業務之管理委員，連選得連任一次，其餘管理委員，連選得連任。,主任委員、管理負責人、負責財務管理及監察業務之管理委員，連選得連任二次，其餘管理委員，連選得連任。,主任委員、管理負責人、負責財務管理及監察業務之管理委員，連選得連任一次，其餘管理委員，不得連選連任。,2
管理委員、主任委員及管理負責人任期屆滿未再選任，自任期屆滿日起，應如何處理?,雖已屆滿，仍應依照條例25條應召開臨時區分所有權人會議選任之。,雖已屆滿，仍應執行職務，直到重新選任為止。,管理委員、主任委員及管理負責人任期屆滿未再選任，自任期屆滿日起，視同解任。,雖已屆滿，仍應暫代職務，唯不得支出財務。,3
區分所有權人會議之決議，規約是否可規定出席與議決之比例?,區分所有權人會議之出席以及決議之比例，規約不得另有規定。,區分所有權人會議之出席以及決議之比例，規約僅得規定出席之比例。,區分所有權人會議之出席以及決議之比例，規約得規定出席及議決之比例。,區分所有權人會議之出席以及決議之比例，規約僅得規定決議之比例。,3
公寓大廈樓頂平臺，設置無線電台基地台等類似強波發射設備或其他類似之行為，應經何人同意?,應經頂層區分所有權人同意。,應經頂層區分所有權人及住戶同意。,應經頂層及其直下一層之區分所有權人同意。,應經頂層及其直下二層之區分所有權人同意。,1
利害關係人於必要時，得請求閱覽或影印相關文件，管理負責人或管理委員會不得拒絕。但不包含下列何種文件?,規約。,住戶名冊。,會計憑證。,管理委員會會議及區分所有權人會議紀錄。,2
利害關係人於必要時，得請求閱覽或影印相關文件，管理負責人或管理委員會不得拒絕。但不包含下列何種文件?,欠繳公共基金與應分攤或其他應負擔費用情形。,公共基金餘額。,會計帳簿。,大門口錄影紀錄。,4
管理委員會應向誰負責，並向其報告會務?,全體區分所有權人。,全體住戶。,區分所有權人會議。,全體區分所有權人及住戶。,3
公寓大廈管理維護公司應經中央主管機關許可及辦理公司登記，並向中央主管機關申領甚麼文件後，始得執業?,許可證。,認可證。,登記證。,公司證。,3
公寓大廈管理維護公司，應依規定類別，聘僱多少人數以上領有中央主管機關核發認可證之繼續性從業之管理服務人員?,4人以上。,8人以上。,10人以上。,6人以上。,2
公寓大廈管理維護公司，應依規定類別，聘僱多少人數以上領有中央主管機關核發認可證之繼續性從業之管理服務人員?,事務管理人員4人以上、技術服務人員2人以上。,事務管理人員6人以上、技術服務人員2人以上。,事務管理人員4人以上、技術服務人員4人以上。,不必分類別，8人以上。,3
"公寓大廈管理服務人員是否可將管理服務人員認可證提供他人使用,或使用他人之認可證執業?",需有借用契約。,不可。,可。,法無不許。,2
區分所有權人會議召集人、起造人或臨時召集人違反第二十五條或第二十八條所定之召集義務者。有何罰則?,處新臺幣三千元以上一萬五千元以下罰鍰，繳納罰鍰後得免履行義務、職務。,處新臺幣一千元以上五千元以下罰鍰，繳納罰鍰後得免履行義務、職務。,處新臺幣三千元以上一萬五千元以下罰鍰，並得令其限期改善或履行義務、職務；屆期不改善或不履行者，得連續處罰。,處新臺幣一千元以上五千元以下罰鍰，並得令其限期改善或履行義務、職務；屆期不改善或不履行者，得連續處罰。,3
住戶違反第十五條第一項規定擅自變更專有或約定專用之使用者。有何罰則?,處新臺幣一萬元以上五萬元以下罰鍰，繳納罰鍰後得免改善。,處新臺幣四萬元以上二十萬元以下罰鍰，繳納罰鍰後得免改善。,處新臺幣一萬元以上五萬元以下罰鍰，並得令其限期改善或履行義務；屆期不改善或不履行者，得連續處罰：,處新臺幣四萬元以上二十萬元以下罰鍰，並得令其限期改善或履行義務；屆期不改善或不履行者，得連續處罰：,4
公寓大廈未依第二十九條之一第一項規定於期限內成立管理委員會或推選管理負責人並辦理報備者，由直轄市、縣（市）主管機關處罰誰?新臺幣四萬元以上二十萬元以下罰鍰，並令其限期辦理；屆期仍未辦理者，得按次處罰。,每一專有部分區分所有權人。,管理負責人。,管理委員會主任委員。,按每一專有部分住戶。,1
從事公寓大廈管理維護業務之管理維護公司違反第四十二條規定，未經領得登記證或經廢止登記證而營業，或接受公寓大廈管理委員會、管理負責人或區分所有權人會議決議之委任執行公寓大廈管理維護服務業務者，有何罰則?,由直轄市、縣（市）主管機關命其改善，拒不改善者，勒令其停業或停止執行業務，並處新臺幣四萬元以上二十萬元以下罰鍰。,由直轄市、縣（市）主管機關勒令其停業或停止執行業務，並處新臺幣四萬元以上二十萬元以下罰鍰。,由直轄市、縣（市）主管機關命其改善，拒不改善者，勒令其停業或停止執行業務，並處新臺幣一萬元以上五萬元以下罰鍰。,由直轄市、縣（市）主管機關勒令其停業或停止執行業務，並處新臺幣一萬元以上五萬元以下罰鍰。,2
